Scientific_name,Family,SIXLET,Symbol,Wetland,Pathway,SLA ,SLA2,SLA3,HT_matur,HT_matur2,Seed_weight,Seed_weight2,SSG,d13C,d15N,C,N,C.N,RGR,Salin_meas,Salin_meas2,rt_dpt_max,Anae_tol,Drgt_Tol,Fire_tol,Mois_use,Salin_tol,Shade_tol,Growth_R,Lifespan,Sex_repr,Veg_repr,Spread_rt,Resprout,Actual_bloom,Seed_period
Baccharis salicifolia,Asteraceae,BACSAL,BASA4,FAC,C3 Likely,131.67,,,2.15,3.9624,0.08,0.08,0.449,-29.3884,1.4339,46.8724,2.6707,18.0094,0.1,6,,0.6,2,3,3,3,3,1,3,,1,2,1,1,Mar - Dec,"Summer, Fall"
Baccharis sergiloides,Asteraceae,BACSER,BASE,FACU,C3 Likely,129.14,151.5151515,,0.75,1,0.092,0.092,0.529,,,,,,,,,,2,,,,3,,,3,1,,,,Aug - Oct,
Bebbia juncea,Asteraceae,BEBJUN,BEJU,UPL,C3,197,117.6470588,,0.8,0.79248,0.9508,0.951,0.365,,,,,,,,,,,4,,,,,,2,1,2,1,,Mar - Nov,
Bouteloua aristidoides,Poaceae,BOUARI,BOAR,UPL,,355.27,,,0.18,,1.113,,,,,,,,,,,0.3,,,,,,,,1,1,2,1,2,Apr  -  Sept,
Bouteloua barbata,Poaceae,BOUBAR,BOBA2,UPL,C4,370.52,,,0.16,0.3048,0.176,0.176,0.573,,,,,,,,,,2,4,4,,,,3,1,1,2,1,2,Jul - Sep,
Bothriochloa barbinodis,Poaceae,BOTBAR,BOBA3,UPL,C4,224.15,,,1.05,1.2192,1.2411,1.241,0.364,,,,,,,8,,1.2,1,4,3,3,3,1,3,,1,1,2,2,Apr - Oct,
Boehmeria cylindrica,Urticaceae,BOECYL,BOCY,OBL,,,,,0.9,,0.2,,,,,,,,,2.3,,,3,2,3,3,2,3,2,,1,2,1,2,Jul  -  Oct,
Boerhavia intermedia,Nyctaginaceae,BOEINT,BOIN,UPL,,,,,0.35,,,,,,,,,,,,,,,4,,,,,,1,1,2,1,2,Aug  -  Oct,
Boerhavia wrightii,Nyctaginaceae,BOEWRI,BOWR,UPL,,168.85,,,0.35,,,,,,,,,,,,,,,4,,,,,,1,1,2,1,2,Aug  -  Dec,
Bromus arvensis,Poaceae,BROARV,BRAR5,FACU,C3 Likely,161.94,,,0.5,0.48768,2.2,2.2,0.467,,,,,,,0.9,,1.5,3,2,1,3,1,1,3,1,1,2,1,2,May  -  Jul,
Brickellia californica,Asteraceae,BRICAL,BRCA3,FACU,C3 Likely,207.34,364,,0.75,0.75,0.2,0.2,0.51,-28.7051,2.0863,44.6047,2.999,15.0712,,,,,,,,,,1,,,1,2,1,,Aug  -  Oct,
Bromus catharticus,Poaceae,BROCAT,BRCA6,UPL,,,,,0.9144,,7.7,,,,,,,,,,,1.2,1,2,2,4,3,1,3,,1,2,1,2,Apr - Nov,"Spring, Spring"
Bromus diandrus,Poaceae,BRODIA,BRDIR,UPL,C3 Likely,255.21,,,0.5,0.48768,11.243,11.24,0.297,-27.7156,5.8008,42.1064,2.1969,19.6156,,4.7,,,,,,,3,,,1,1,2,1,,Apr - Jun,
Brickellia longifolia,Asteraceae,BRILON,BRLO,UPL,C3 Likely,111.88,,,1.25,1.24968,0.7372,0.737,0.486,-28.9268,5.4482,46.6361,1.4455,33.6562,,,,,2,,,,,,,2,1,2,1,,Aug - Oct,
Bromus rubens,Poaceae,BRORUB,BRRU2,UPL,C3 Likely,305.61,600,,0.35,0.39624,2.02,3,0.253,-29.2086,5.3823,41.8412,2.8556,14.8032,0.09,,,0.1,1,4,1,2,3,1,3,1,1,2,1,2,Feb - Aug,"Spring, Spring"
Bromus tectorum,Poaceae,BROTEC,BRTE,UPL,C3,229.66,261,170,0.425,0.381,3.3,3.3,0.261,-28.0038,-0.5561,42.0239,2.9729,14.1933,0.133,0.65,,1.17,2,4,4,,1,1,3,1,1,2,1,2,Apr - Jul,
Carex emoryi,Cyperaceae,CAREMO,CAEM2,OBL,,130.73,,,1.28016,,0.46,,,,,,,,,,,,3,2,2,3,1,3,2,,1,1,1,2,May - Jun,
Calystegia longipes,Convolvulaceae,CALLON,CALO12,UPL,,,,,0.65,,13.4372,,,,,,,,,,,,,,,,,,,,1,2,1,2,May  -  Jul,
Zeltnera arizonica,Gentianaceae,ZELARI,CEAR12,FACW,,,,,0.31,,,,,,,,,,,,,,,,,,4,,,1,1,2,1,2,Mar  -  Nov,
Centaurea calcitrapa,Asteraceae,CENCAL,CECA2,UPL,,,,,0.45,,2.3032,,,,,,,,,,,,,,,,,,,1,1,2,1,2,,
Celtis laevigata,Ulmaceae,CELLAE,CELA,FAC,C3 Likely,272.54,,,5,4.9,92,76.05,0.679,-29.0067,2.6176,36.8277,1.5418,24.4314,,3.1,,4.6,,4,3,2,2,1,3,4,1,2,1,1,Mar - Apr,
Cercis orbiculata,Fabaceae,CERORB,CEOR9,UPL,,,,,4.1148,,37,,,,,,,,,3,,,,4,3,,2,2,3,3,1,2,1,1,Mar - Jun,
